Post_ID;Platform;Hashtag;Content_Type;Region;Views;Likes;Shares;Comments;Engagement_Level
Post_30;YouTube;#Education;Shorts;Japan;4683280;311330;3357;5110;Medium
Post_31;Instagram;#Comedy;Reel;Australia;1365655;156164;84930;18303;Low
Post_32;Twitter;#Music;Video;USA;2342195;91944;89578;44440;Medium
Post_33;YouTube;#Gaming;Live Stream;USA;4977438;8731;4500;46045;Low
Post_34;YouTube;#Viral;Reel;Australia;3005703;16688;77970;15891;Low
Post_35;YouTube;#Education;Tweet;UK;936390;368646;92202;2016;Low
Post_36;TikTok;#Education;Live Stream;Japan;1855796;158156;6423;20518;High
Post_37;Instagram;#Music;Reel;Germany;48908;205884;37256;14618;Low
Post_38;Instagram;#Dance;Video;India;1367820;10794;7617;36639;Medium
Post_39;TikTok;#Gaming;Shorts;USA;4499253;469481;89583;41549;High
Post_40;Twitter;#Comedy;Post;USA;4510477;274631;82143;13932;Low
Post_41;Twitter;#Education;Reel;India;4380015;355402;41860;42729;High
Post_42;YouTube;#Fashion;Live Stream;Australia;943395;402996;18661;11999;High
Post_43;Twitter;#Comedy;Post;Brazil;3961278;49656;93072;23952;Medium
Post_44;YouTube;#Comedy;Shorts;Brazil;4080112;171609;17994;41339;Medium
Post_45;Twitter;#Comedy;Shorts;Germany;3934142;380972;42858;26194;Low
Post_46;Instagram;#Gaming;Tweet;Brazil;272327;274271;56073;17526;High
Post_47;Instagram;#Tech;Reel;Japan;1600237;325368;62818;25686;Medium
Post_48;Instagram;#Dance;Live Stream;India;2212857;74624;24137;35546;Medium
Post_49;Twitter;#Gaming;Live Stream;USA;4711157;313821;86074;36395;High
Post_50;Instagram;#Fashion;Reel;Japan;2747788;422463;21545;40997;Low
Post_51;YouTube;#Dance;Post;Australia;2081426;225061;67840;28774;Medium
Post_52;YouTube;#Music;Live Stream;Canada;2258494;159509;25505;8605;Medium
Post_53;YouTube;#Comedy;Tweet;Japan;1357850;472399;90644;33331;Low
Post_54;Twitter;#Fitness;Reel;Canada;392337;332566;43169;45161;Medium
Post_55;Twitter;#Dance;Reel;USA;4006009;491965;60534;31438;High
Post_56;YouTube;#Fitness;Tweet;Australia;3934991;389693;81891;32967;Medium
Post_57;Instagram;#Challenge;Live Stream;Australia;2824818;34126;53516;29452;Low
Post_58;Twitter;#Dance;Video;Australia;197986;184395;9408;7599;Medium
Post_59;YouTube;#Challenge;Post;Germany;2291491;474568;83894;6150;High
Post_60;Twitter;#Music;Live Stream;UK;3525573;40967;4121;26381;Low
Post_61;TikTok;#Music;Reel;USA;866896;122451;79602;25491;Low
Post_62;YouTube;#Tech;Video;Australia;4104535;331535;60374;13314;Medium
Post_63;TikTok;#Dance;Tweet;India;2601441;93254;55921;48758;Low
Post_64;Instagram;#Gaming;Shorts;Canada;1142030;212596;72334;18;High
Post_65;YouTube;#Fashion;Shorts;Canada;2969591;358102;26688;8128;Low
Post_66;TikTok;#Education;Post;Japan;855465;14117;73654;46422;High
Post_67;YouTube;#Viral;Video;Brazil;4453459;376054;36502;19620;High
Post_68;Twitter;#Dance;Reel;Japan;1059696;75851;99754;47614;High
Post_69;Twitter;#Fitness;Tweet;USA;581577;341805;67524;485;High
Post_70;YouTube;#Fitness;Tweet;Australia;4226427;421149;53769;27804;Medium
Post_71;Twitter;#Dance;Reel;Japan;485214;50577;92342;43775;Medium
Post_72;Instagram;#Education;Tweet;Australia;1419701;68719;98115;36515;Low
Post_73;TikTok;#Fashion;Post;Germany;4378457;136878;89273;41624;Medium
Post_74;TikTok;#Music;Post;India;3647159;216783;79133;7687;High
Post_75;YouTube;#Gaming;Video;USA;1750105;125485;942;20317;Low
Post_76;Instagram;#Dance;Tweet;India;1796369;145118;68421;16720;High
Post_77;Twitter;#Fitness;Shorts;India;1535141;15408;23087;23147;Medium
Post_78;Twitter;#Challenge;Video;Australia;612594;132163;29340;40557;Medium
Post_79;Instagram;#Challenge;Reel;USA;4219632;171996;5043;3436;Medium
Post_80;Twitter;#Viral;Shorts;Japan;3994554;241425;99422;41307;High
Post_81;Instagram;#Challenge;Shorts;India;4290853;211176;66264;14337;Medium
Post_82;Instagram;#Dance;Live Stream;Australia;284772;338933;22771;18899;Low
Post_83;Instagram;#Gaming;Live Stream;Japan;4637078;219517;5831;32657;Low
Post_84;Instagram;#Comedy;Shorts;Brazil;3315125;62336;79392;42892;High
Post_85;Twitter;#Fitness;Shorts;Brazil;4357287;106179;4262;12978;Medium
Post_86;TikTok;#Fitness;Shorts;Canada;907386;52457;77192;32870;High
Post_87;Twitter;#Gaming;Post;India;1908555;194688;34182;3500;High
Post_88;Twitter;#Challenge;Post;Japan;3074269;18233;37713;28599;Medium
Post_89;YouTube;#Dance;Post;Brazil;4067125;190686;12963;11560;High
Post_90;YouTube;#Fitness;Reel;Japan;1173157;137342;95328;47250;Low
Post_91;TikTok;#Fitness;Reel;Germany;2141884;23466;66627;40003;High
Post_92;Twitter;#Comedy;Post;India;4567233;66980;96596;49121;Low
Post_93;Twitter;#Gaming;Post;UK;506074;69145;31191;43362;Low
Post_94;YouTube;#Comedy;Tweet;UK;3210080;195970;75414;4473;High
Post_95;TikTok;#Tech;Video;Germany;128472;444670;64311;7956;Medium
Post_96;TikTok;#Music;Reel;India;1347102;274212;15298;28342;High
Post_97;TikTok;#Tech;Live Stream;UK;92085;176687;5641;22316;Medium
Post_98;TikTok;#Tech;Post;Australia;3843536;90333;10903;30677;Medium
Post_99;Instagram;#Viral;Reel;Germany;965073;263310;39207;27324;High
Post_100;YouTube;#Education;Post;Canada;3096420;364521;73308;29082;Low
Post_101;YouTube;#Gaming;Tweet;Germany;2723916;1349;81918;11870;High
Post_102;TikTok;#Music;Live Stream;UK;2249678;46464;83075;5710;Medium
Post_103;Twitter;#Viral;Shorts;Germany;3311289;352538;55203;5369;Medium
Post_104;Instagram;#Music;Tweet;India;3588997;241125;65026;30917;Medium
Post_105;Instagram;#Fitness;Post;Japan;13562;11483;33641;30457;Medium
Post_106;Twitter;#Fitness;Live Stream;USA;3926751;302919;49216;30399;Low
Post_107;YouTube;#Music;Tweet;UK;2750317;59766;75524;27938;High
Post_108;TikTok;#Challenge;Reel;Germany;4655757;383024;45530;48504;Medium
Post_109;Instagram;#Fitness;Video;USA;4844012;452777;44862;23870;High
Post_110;Twitter;#Dance;Video;USA;3868789;188191;4660;26605;Medium
Post_111;Twitter;#Viral;Tweet;Australia;2517364;418305;51641;34605;High
Post_112;Instagram;#Dance;Video;Brazil;1994041;310266;87995;40217;Medium
Post_113;TikTok;#Education;Shorts;Australia;1402998;241244;56779;14849;High
Post_114;YouTube;#Fashion;Live Stream;Brazil;702950;17361;62405;10538;Low
Post_115;Instagram;#Education;Tweet;Canada;1599554;364748;16705;8949;High
Post_116;TikTok;#Tech;Post;Australia;4600976;443617;98343;18038;High
Post_117;Twitter;#Viral;Shorts;USA;2495410;213884;16804;17614;Low
Post_118;TikTok;#Dance;Video;Germany;1838563;289125;77191;27066;High
Post_119;YouTube;#Tech;Shorts;India;2920650;416403;56902;2675;Low
Post_120;TikTok;#Viral;Video;Germany;1772623;361245;30503;13260;Low
Post_121;Instagram;#Comedy;Shorts;Australia;2484315;101605;80028;36281;High
Post_122;YouTube;#Comedy;Live Stream;India;4927173;22341;38730;42476;Medium
Post_123;TikTok;#Challenge;Video;UK;3924183;283030;30676;43977;Low
Post_124;Instagram;#Music;Post;USA;4646060;21362;31562;19778;Medium
Post_125;YouTube;#Fitness;Video;USA;3901900;20166;30661;25363;Low
Post_126;Instagram;#Fashion;Video;Japan;962137;319381;69098;38387;Low
Post_127;TikTok;#Education;Video;Germany;3859007;277223;81798;46985;Medium
Post_128;Twitter;#Challenge;Shorts;UK;3837223;140163;85932;40674;Medium
Post_129;Instagram;#Comedy;Post;UK;1029488;449148;87211;35005;High
Post_130;Twitter;#Fashion;Post;Germany;879364;232290;7501;23547;Low
Post_131;TikTok;#Comedy;Live Stream;USA;4828597;131837;43770;9395;Low
Post_132;YouTube;#Education;Video;India;3487375;107303;83451;45313;High
Post_133;TikTok;#Dance;Tweet;India;3418884;311286;82479;7832;High
Post_134;YouTube;#Challenge;Reel;Brazil;1337059;318166;72711;32791;High
Post_135;TikTok;#Education;Live Stream;Canada;707841;133933;46058;45912;High
Post_136;TikTok;#Fitness;Shorts;Australia;1851460;345987;13274;43872;Low
Post_137;Instagram;#Fashion;Tweet;Canada;1438248;223413;84930;42774;Low
Post_138;Instagram;#Fashion;Live Stream;Brazil;4027409;80497;44156;14597;Medium
Post_139;Instagram;#Music;Video;India;3488909;443844;19877;22056;Low
Post_140;TikTok;#Fitness;Video;USA;1089083;150418;45387;25632;Medium
Post_141;TikTok;#Fashion;Live Stream;Germany;682046;480038;71997;18117;High
Post_142;YouTube;#Tech;Live Stream;Brazil;4849297;86843;16843;14705;Low
Post_143;Instagram;#Challenge;Tweet;USA;4283565;107901;84854;4738;Low
Post_144;Twitter;#Comedy;Shorts;India;50082;70708;277;25036;Low
Post_145;Twitter;#Viral;Post;USA;3940355;82304;68754;15897;Low
Post_146;Instagram;#Education;Reel;Canada;964498;194879;76029;34998;High
Post_147;TikTok;#Tech;Shorts;UK;636824;363548;17456;8176;Low
Post_148;TikTok;#Comedy;Reel;India;4179125;94325;72341;7328;Low
Post_149;Instagram;#Gaming;Video;Brazil;1292958;95304;3716;44880;Low
Post_150;Instagram;#Viral;Reel;UK;4103477;75909;5645;4052;Low
Post_151;Twitter;#Education;Reel;Germany;3529777;68367;38326;879;High
Post_152;Instagram;#Fashion;Reel;USA;4593170;34210;33344;11022;Low
Post_153;TikTok;#Challenge;Shorts;Brazil;3251679;498580;96093;9968;Medium
Post_154;Instagram;#Tech;Shorts;Canada;41081;319140;6541;23057;Low
Post_155;Twitter;#Dance;Shorts;Canada;2127698;193956;14856;32442;Medium
Post_156;YouTube;#Education;Shorts;Australia;4765117;177035;49884;46238;Medium
Post_157;Twitter;#Fitness;Reel;India;2114283;462542;14404;37153;Low
Post_158;YouTube;#Fashion;Reel;Canada;4391275;392281;14429;27404;High
Post_159;TikTok;#Gaming;Post;India;1246500;471547;15048;40514;High
Post_160;Twitter;#Music;Tweet;Germany;4555977;1087;23157;12611;Medium
Post_161;Twitter;#Gaming;Tweet;India;400424;56569;59897;49341;Medium
Post_162;Instagram;#Challenge;Video;Brazil;3201846;335416;50986;16715;High
Post_163;TikTok;#Gaming;Video;Germany;102418;107650;94514;26548;Medium
Post_164;Twitter;#Comedy;Tweet;Australia;4253909;448284;39383;32995;Low
Post_165;TikTok;#Fitness;Live Stream;Australia;1551922;47511;7404;25497;Low
Post_166;YouTube;#Challenge;Post;Germany;3587143;430347;96428;42640;Medium
Post_167;Instagram;#Fashion;Video;USA;2252593;61466;13181;29007;High
Post_168;YouTube;#Challenge;Video;Australia;2547290;382792;78654;30532;Medium
Post_169;YouTube;#Viral;Reel;USA;2946297;223304;83502;10855;Low
Post_170;Twitter;#Education;Video;India;4459268;356292;52389;33857;Low
Post_171;Instagram;#Music;Live Stream;Australia;1630617;435112;71742;49750;High
Post_172;Instagram;#Education;Live Stream;USA;4709770;389553;55435;16799;Medium
Post_173;Instagram;#Fitness;Tweet;Australia;2275387;271817;72208;27046;High
Post_174;TikTok;#Tech;Tweet;Brazil;2784320;373955;22997;15361;High
Post_175;Twitter;#Music;Tweet;USA;3674194;19972;97555;24310;Medium
Post_176;YouTube;#Music;Post;UK;2126429;36274;51278;44234;Medium
Post_177;YouTube;#Fitness;Shorts;USA;1598712;280260;58128;4485;High
Post_178;Twitter;#Fashion;Video;Australia;3464211;115302;63150;37858;Medium
Post_179;Twitter;#Fitness;Reel;UK;1519290;495937;13211;49107;Low
Post_180;Instagram;#Fitness;Tweet;Canada;4888613;414422;11933;23903;High
Post_181;Twitter;#Viral;Shorts;USA;3712060;302466;63802;49953;Low
Post_182;Instagram;#Tech;Reel;UK;4003071;22251;13517;13392;Low
Post_183;Instagram;#Dance;Video;Germany;681752;197632;98860;19379;High
Post_184;Instagram;#Gaming;Shorts;Germany;4684548;122401;82864;42106;Low
Post_185;Instagram;#Tech;Video;UK;3916842;292224;72417;38211;High
Post_186;TikTok;#Dance;Reel;UK;798887;326922;87308;21689;Medium
Post_187;Twitter;#Gaming;Video;Australia;688077;243607;79071;12078;High
Post_188;Twitter;#Challenge;Reel;Japan;1520250;214233;80;10917;Medium
Post_189;TikTok;#Fashion;Post;Australia;496652;106618;64875;44200;High
Post_190;TikTok;#Education;Reel;India;479620;337321;99486;26524;Medium
Post_191;YouTube;#Education;Reel;USA;4221739;291223;61415;44293;Low
Post_192;Twitter;#Education;Live Stream;Brazil;4425196;324343;33641;22289;High
Post_193;Instagram;#Comedy;Shorts;UK;4236960;259668;86293;16169;Low
Post_194;TikTok;#Education;Reel;India;2488223;177673;86535;39991;Low
Post_195;YouTube;#Dance;Live Stream;UK;2809035;359231;78623;27822;Medium
Post_196;YouTube;#Music;Shorts;Brazil;444252;398838;7767;19133;High
Post_197;Instagram;#Fashion;Reel;India;907575;42770;5219;47956;Low
Post_198;TikTok;#Dance;Post;Canada;2440215;199343;53628;10359;Medium
Post_199;TikTok;#Comedy;Shorts;USA;3982001;131915;64092;22170;Medium
Post_200;Twitter;#Fashion;Reel;Brazil;3802724;457464;83495;19409;High
Post_201;YouTube;#Dance;Shorts;Australia;3049554;441149;46483;36909;Low
Post_202;YouTube;#Fashion;Video;Germany;3186810;312491;66586;7390;Medium
Post_203;YouTube;#Gaming;Live Stream;Australia;810296;77866;87591;41350;High
Post_204;Twitter;#Dance;Post;UK;4459224;957;54290;47674;High
Post_205;Instagram;#Viral;Post;USA;741152;226355;58251;46227;High
Post_206;Twitter;#Fashion;Tweet;USA;2945128;368541;66690;3800;Medium
Post_207;Twitter;#Music;Post;Canada;2302342;153529;52488;41257;High
Post_208;YouTube;#Fashion;Shorts;Australia;469793;295293;29190;9480;Medium
Post_209;Twitter;#Comedy;Live Stream;UK;2452099;320043;91765;2987;Low
Post_210;TikTok;#Tech;Live Stream;UK;2651939;209375;2127;12291;Low
Post_211;TikTok;#Fitness;Shorts;India;1580449;299597;35471;1908;High
Post_212;Instagram;#Dance;Tweet;India;4764800;52536;65976;47528;Medium
Post_213;Twitter;#Comedy;Tweet;Japan;4336145;295452;2342;22411;Medium
Post_214;Instagram;#Viral;Shorts;Japan;4316287;188239;34891;39029;Medium
Post_215;Twitter;#Gaming;Tweet;Japan;1516746;272088;48475;36816;Medium
Post_216;TikTok;#Fitness;Post;USA;4497673;460735;96637;47633;Medium
Post_217;YouTube;#Dance;Live Stream;UK;1200639;381211;2574;40242;Medium
Post_218;YouTube;#Viral;Tweet;USA;3115115;81186;14964;1885;Low
Post_219;Twitter;#Dance;Tweet;India;89968;450376;40577;19844;Medium
Post_220;TikTok;#Dance;Tweet;Japan;2177828;478703;86167;17109;Medium
Post_221;Twitter;#Viral;Shorts;India;306511;404600;32664;35337;Medium
Post_222;Instagram;#Music;Reel;UK;4422912;199110;95413;32057;Low
Post_223;Instagram;#Tech;Post;UK;4326885;300734;1870;1496;Medium
Post_224;YouTube;#Music;Live Stream;Germany;4732360;84552;21664;36363;Medium
Post_225;YouTube;#Gaming;Video;Japan;2510808;348707;17968;46925;High
Post_226;Instagram;#Education;Video;USA;2710672;252420;23167;5670;Low
Post_227;TikTok;#Fitness;Shorts;Australia;4096796;365062;58371;48138;Medium
Post_228;YouTube;#Gaming;Live Stream;UK;940184;131729;1559;12135;Low
Post_229;Twitter;#Viral;Shorts;USA;2184148;326178;46185;1902;High
Post_230;Instagram;#Challenge;Shorts;Australia;1498512;205870;16834;34865;Medium
Post_231;Instagram;#Dance;Video;Germany;4300552;428951;18627;12148;Low
Post_232;YouTube;#Challenge;Reel;Japan;3267055;133930;81976;22080;Low
Post_233;TikTok;#Fitness;Post;Canada;2095875;78244;43598;16006;Low
Post_234;YouTube;#Education;Shorts;USA;1465227;158579;8809;33511;High
Post_235;YouTube;#Viral;Reel;Japan;1715566;326676;69635;19235;Low
Post_236;Instagram;#Fitness;Reel;Brazil;4708687;133736;49028;3765;Medium
Post_237;YouTube;#Challenge;Tweet;UK;1091635;198291;5604;31314;Medium
Post_238;TikTok;#Dance;Reel;UK;1111002;266261;22269;39363;Low
Post_239;YouTube;#Comedy;Post;Japan;869375;123390;59716;46989;Low
Post_240;Twitter;#Gaming;Video;Japan;2551247;384714;36284;18974;High
Post_241;YouTube;#Viral;Shorts;India;920528;400658;58158;26810;High
Post_242;YouTube;#Viral;Shorts;Japan;2846948;55585;27235;29699;Medium
Post_243;Instagram;#Fashion;Shorts;UK;2801638;111973;60593;35663;Medium
Post_244;TikTok;#Dance;Video;Canada;1556267;56055;12612;20474;Low
Post_245;TikTok;#Viral;Post;Brazil;1828433;126683;82181;48618;Low
Post_246;YouTube;#Dance;Post;UK;3988715;211316;4804;33837;Medium
Post_247;TikTok;#Fashion;Video;Canada;3290858;250085;41283;20251;High
Post_248;YouTube;#Viral;Tweet;USA;3703315;449350;54600;26510;Medium
Post_249;TikTok;#Education;Post;Canada;506215;303740;98918;36904;Medium
Post_250;YouTube;#Fitness;Post;Canada;762333;406861;79834;13785;Medium
Post_251;Twitter;#Dance;Post;Brazil;3252738;420498;5811;2661;High
Post_252;Instagram;#Fashion;Tweet;Germany;4080585;203708;22677;23693;Medium
Post_253;TikTok;#Comedy;Tweet;Germany;1450112;409512;91982;9118;Medium
Post_254;Twitter;#Gaming;Post;UK;2512592;418988;4122;18706;Low
Post_255;TikTok;#Fitness;Video;Japan;3714148;291659;27722;28024;High
Post_256;Twitter;#Challenge;Tweet;USA;2276898;337038;56049;13735;Medium
Post_257;YouTube;#Challenge;Shorts;Australia;342675;493624;4168;35727;Low
Post_258;Instagram;#Fitness;Post;Australia;2787914;198350;96753;45466;Medium
Post_259;Instagram;#Comedy;Tweet;USA;893271;69359;66059;43386;Medium
Post_260;YouTube;#Dance;Post;Japan;2061951;381908;33698;25476;High
Post_261;Twitter;#Music;Reel;Canada;3823345;32222;64447;44453;High
Post_262;Twitter;#Fitness;Live Stream;USA;4330038;118835;19134;27781;High
Post_263;YouTube;#Fitness;Video;Canada;2714016;86422;85827;36320;High
Post_264;Instagram;#Music;Tweet;Canada;4588770;448601;52948;32818;Medium
Post_265;Instagram;#Tech;Video;Canada;485489;265199;14446;34447;Low
Post_266;YouTube;#Education;Post;UK;2688752;472554;2742;14495;Low
Post_267;YouTube;#Comedy;Post;Brazil;2417512;154294;98184;18043;Medium
Post_268;TikTok;#Comedy;Tweet;Japan;1612356;488560;75088;11999;Low
Post_269;Instagram;#Dance;Shorts;Japan;242459;366128;20712;22677;Medium
Post_270;Twitter;#Dance;Live Stream;UK;4041579;326486;69020;47705;High
Post_271;Twitter;#Dance;Post;Canada;2214561;156292;18753;3643;Medium
Post_272;YouTube;#Dance;Post;UK;2524440;262085;98352;37571;High
Post_273;Instagram;#Viral;Reel;Canada;4675636;328475;4510;45120;Low
Post_274;YouTube;#Tech;Live Stream;UK;1093553;43035;52724;29091;Low
Post_275;Twitter;#Music;Tweet;Australia;2860355;157614;70326;47778;Medium
Post_276;Twitter;#Fitness;Video;USA;4643597;200851;87149;35230;Low
Post_277;Twitter;#Challenge;Reel;Brazil;4889936;142520;56142;26214;High
Post_278;TikTok;#Education;Reel;Japan;1483481;353517;41615;11414;Low
Post_279;Instagram;#Dance;Tweet;Germany;734933;421895;50675;12150;Medium
Post_280;YouTube;#Fashion;Reel;Japan;4485712;464196;67958;45876;High
Post_281;Twitter;#Comedy;Shorts;UK;1165962;105888;48384;47511;High
Post_282;Twitter;#Gaming;Tweet;India;791211;251591;9900;36509;High
Post_283;YouTube;#Dance;Post;UK;755921;275570;36739;37643;High
Post_284;Instagram;#Fitness;Tweet;India;1966067;136472;63614;18304;Medium
Post_285;Twitter;#Fashion;Tweet;Germany;3275624;455318;72364;39134;Medium
Post_286;Twitter;#Comedy;Live Stream;India;4914869;200375;2393;37178;Medium
Post_287;Twitter;#Music;Tweet;Japan;694970;180020;88660;5645;High
Post_288;YouTube;#Comedy;Tweet;Australia;2507996;317525;50404;25462;High
Post_289;Twitter;#Dance;Reel;USA;2122512;277831;95870;1487;High
Post_290;Twitter;#Dance;Reel;USA;4445772;159466;75212;24528;Low
Post_291;Instagram;#Education;Video;UK;495496;300566;97031;48197;Low
Post_292;TikTok;#Challenge;Post;Germany;1035819;94853;68842;31836;Low
Post_293;Twitter;#Comedy;Tweet;USA;424447;50456;76836;13951;High
Post_294;TikTok;#Gaming;Shorts;Germany;3949831;495150;7915;2858;High
Post_295;Instagram;#Tech;Reel;Canada;70424;392371;44740;10705;Low
Post_296;TikTok;#Fitness;Live Stream;India;4820393;44861;86973;46410;Medium
Post_297;TikTok;#Fashion;Reel;Canada;864256;437954;60063;46333;High
Post_298;Instagram;#Comedy;Reel;Germany;1853392;232747;87334;27858;Medium
Post_299;Twitter;#Challenge;Live Stream;Germany;4700334;65555;32126;13215;High
Post_300;TikTok;#Education;Video;Brazil;4412697;108323;25130;6295;High
Post_301;Instagram;#Education;Live Stream;Brazil;340950;127995;30856;14353;High
Post_302;TikTok;#Tech;Tweet;Japan;3763770;75074;87283;26590;Medium
Post_303;Twitter;#Dance;Tweet;Japan;394485;373829;36151;12167;Low
Post_304;Twitter;#Viral;Live Stream;Australia;4250412;138828;47483;35614;High
Post_305;Twitter;#Tech;Reel;UK;1722013;357734;70729;37238;High
Post_306;Twitter;#Comedy;Video;Brazil;1359747;471796;85070;14073;High
Post_307;YouTube;#Comedy;Tweet;Germany;3205182;109645;57308;13223;Medium
Post_308;Instagram;#Education;Video;India;1333000;426321;26174;27048;Medium
Post_309;Instagram;#Challenge;Post;UK;543708;19494;13359;8753;Low
Post_310;TikTok;#Fitness;Shorts;Australia;2337694;429342;49196;28304;Medium
Post_311;TikTok;#Comedy;Shorts;Brazil;1423060;44643;79715;20950;High
Post_312;Twitter;#Comedy;Live Stream;Brazil;70463;81866;70328;42489;Low
Post_313;TikTok;#Dance;Post;Brazil;245443;457409;42668;8442;Low
Post_314;TikTok;#Education;Tweet;Japan;2243003;67157;46609;10189;High
Post_315;YouTube;#Comedy;Post;India;567506;90799;30845;11229;Medium
Post_316;YouTube;#Music;Post;Japan;1345248;10364;16629;34324;Medium
Post_317;Instagram;#Dance;Video;Canada;567122;489613;6414;13429;Low
Post_318;Twitter;#Fitness;Video;UK;4719001;143216;93614;38476;Low
Post_319;TikTok;#Gaming;Tweet;UK;1357286;485410;96395;177;High
Post_320;Twitter;#Fashion;Tweet;India;2298278;202870;25710;3153;Low
Post_321;TikTok;#Challenge;Post;Brazil;436487;440596;28677;23094;Medium
Post_322;YouTube;#Fashion;Post;Brazil;2824208;151603;30104;8914;High
Post_323;Twitter;#Gaming;Tweet;Germany;2517906;254149;3970;17586;Medium
Post_324;TikTok;#Challenge;Tweet;Japan;1070510;29674;53802;4514;High
Post_325;TikTok;#Comedy;Tweet;UK;3369227;130484;70848;12010;Medium
Post_326;TikTok;#Fitness;Video;USA;2580238;118495;10621;34440;Medium
Post_327;TikTok;#Comedy;Live Stream;Japan;1094116;301730;23651;29582;High
Post_328;YouTube;#Music;Reel;UK;3107277;201634;7994;4367;High
Post_329;Instagram;#Tech;Video;Canada;3502729;423463;33243;17585;Medium
Post_330;YouTube;#Tech;Tweet;Brazil;3073848;306268;94923;45513;Medium
Post_331;TikTok;#Comedy;Tweet;Japan;2092377;158177;72216;47525;High
Post_332;YouTube;#Education;Post;USA;4530257;474798;91950;40024;High
Post_333;TikTok;#Tech;Live Stream;Japan;4297874;462449;15517;44021;Medium
Post_334;TikTok;#Comedy;Post;Australia;2847461;439633;17966;47276;Medium
Post_335;Instagram;#Viral;Video;Canada;4096574;225112;53015;15291;Low
Post_336;Twitter;#Fitness;Reel;Brazil;3708615;239914;45200;8352;Low
Post_337;TikTok;#Music;Reel;India;4047898;375210;72728;40390;Medium
Post_338;Twitter;#Comedy;Reel;Brazil;2676484;97672;26461;49856;High
Post_339;Instagram;#Education;Video;Canada;961039;320162;73066;32;Low
Post_340;Twitter;#Fashion;Tweet;Canada;3806052;336179;69578;32549;Medium
Post_341;TikTok;#Viral;Tweet;Australia;2277888;10022;63720;49788;Low
Post_342;Instagram;#Viral;Tweet;UK;3850711;419814;14656;45277;Low
Post_343;Twitter;#Tech;Shorts;Germany;1675122;177756;68407;36886;Medium
Post_344;Instagram;#Challenge;Video;Canada;121735;293092;98179;41884;Low
Post_345;Instagram;#Music;Reel;Australia;423362;110690;51877;22816;High
Post_346;Twitter;#Challenge;Shorts;Australia;2902262;99211;30845;37170;Medium
Post_347;YouTube;#Challenge;Post;Brazil;1670715;304208;67487;36984;High
Post_348;YouTube;#Fitness;Tweet;Brazil;3577708;6650;74312;12776;Low
Post_349;Twitter;#Comedy;Post;Australia;4157406;52815;89361;25431;Medium
Post_350;TikTok;#Comedy;Post;Brazil;4955860;204064;19359;46500;Medium
Post_351;TikTok;#Tech;Post;USA;3562055;211324;22318;48831;Low
Post_352;YouTube;#Fashion;Post;Canada;4443444;329468;67869;13843;Medium
Post_353;TikTok;#Comedy;Video;UK;377149;207589;13408;15058;High
Post_354;YouTube;#Tech;Live Stream;USA;2711504;428947;52195;4775;High
Post_355;YouTube;#Challenge;Live Stream;Australia;429918;121461;7858;29359;Low
Post_356;YouTube;#Gaming;Live Stream;Germany;4023574;127139;4948;42147;Medium
